,Videocard Name,Price (USD)
756,Intel G45/G43 Express Chipset,
757,Intel G45/G43/G41 Express Chipset,
758,Intel G965 Express,
759,Intel GMA 3150 Express,
760,Intel Haswell HD - GT1,
761,Intel Haswell HD - GT2,
762,Intel HD 2000,
763,Intel HD 3000,$945.00*
764,Intel HD 4000,"$1,592.95*"
765,Intel HD 4400,
766,Intel HD 4600,
767,Intel HD 500,
768,Intel HD 5000,$625.00*
769,Intel HD 505,
770,Intel HD 510,
771,Intel HD 515,
772,Intel HD 520,
773,Intel HD 5200,
774,Intel HD 530,
775,Intel HD 5300,
776,Intel HD 5500,
777,Intel HD 5600,
778,Intel HD 6000,
779,Intel HD 610,
780,Intel HD 615,
781,Intel HD 630,
782,Intel HD Family,
783,Intel HD Graphics 620,
784,Intel HD manual-15.28-1861,
785,Intel HD manual-gen9_2015-133271,
786,Intel HD Modded,
787,Intel HD P3000,
788,Intel HD P4000,
789,Intel HD P4600,
790,Intel HD P4600/P4700,
791,Intel HD P530,
792,Intel HD P630,
793,Intel Infoshock HD,
794,Intel Iris 5100,
795,Intel Iris 540,
796,Intel Iris 550,
797,Intel Iris 6100,
798,Intel Iris 650,
799,Intel Iris Plus,
800,Intel Iris Plus 640,
801,Intel Iris Plus 645,
802,Intel Iris Plus 650,
803,Intel Iris Plus 655,
804,Intel Iris Pro 5200,
805,Intel Iris Pro 580,
806,Intel Iris Pro 6100,
807,Intel Iris Pro Graphics 6200,
808,Intel Iris Pro P580,
809,Intel Iris Pro P6300,
810,Intel Iris Xe,
811,Intel Iris Xe MAX,
812,Intel Iris Xe MAX 100,
813,Intel Media Accelerator,
814,Intel Media Accelerator 3150,
815,Intel Media Accelerator 500,
816,Intel Media Accelerator 600,
817,Intel Media Accelerator HD,
818,Intel Poison Ivy,
819,Intel Q33 Express,
820,Intel Q35 Embedded,
821,Intel Q35 Express,
822,Intel Q45/Q43 Express Chipset,
823,Intel Q45/Q43 Express-Chipsatz,
824,Intel Q965/Q963 Express,
825,Intel Skylake HD DT GT2,
826,Intel UHD Graphics,
827,Intel UHD Graphics 600,
828,Intel UHD Graphics 605,
829,Intel UHD Graphics 610,
