Videocard Name,Price (USD)
RadeonT RX 640,
GeForce GTX 550 Ti,99.99
Radeon Vega 10,
Ryzen 3 PRO 5450U with Radeon Graphics,
Firepro W5170M,
Radeon HD 7560D + HD 6670 Dual,
Intel UHD 730,
Radeon RX Vega 8,
GeForce GTX 285,119.99
Radeon HD 8470D + HD 7500 Dual,
Ryzen 3 PRO 4300U with Radeon Graphics,
FirePro W4100,184
FirePro V8700,157.88
Ryzen 3 PRO 4450U with Radeon Graphics,
Radeon RX 640,
Radeon HD 4890,89.99
GeForce GT 740,236.99
FirePro W6150M,
Quadro P500,
Radeon HD 7870M,
Radeon Ryzen 3 PRO 4450U,
GeForce 940MX,
Ryzen 5 2500U with Radeon Vega,
Radeon HD 6670 + 7660D Dual,
Quadro 4000,978.99
Radeon HD 7660D + HD 6670 Dual,
Radeon R9 255,344.16
Radeon R9 M365X,
GeForce MX110,
Radeon Vega 10 Mobile,
Radeon Ryzen 3 PRO 4350GE,
Ryzen 5 PRO 4400GE with Radeon Graphics,
Radeon Vega 8 Mobile,
Radeon HD 8470D + HD 6670 Dual,
GeForce 845M,
Radeon 550X,
Intel Iris Pro Graphics 6200,
Radeon HD 7560D + 7670 Dual,
Radeon R7 M370,
GeForce GTX 660M,78.99
Radeon Ryzen 5 4600GE,
Radeon Pro WX 4170,
Radeon Ryzen 3 PRO 5350G,
Radeon Ryzen 3 5300G,
GeForce GTX 275,431.72
Radeon 540X,
Radeon HD 4870,79.99
Radeon HD 7560D + HD 7670 Dual,
Radeon R7 PRO A12-8870,
Radeon R9 M370X,889
Radeon HD 7850M,
FirePro M40003,
Radeon HD 8670D + 6670 Dual,
Radeon HD 5770,189.99
Quadro K2100M,415.99
Ryzen 3 4300U with Radeon Graphics,
Radeon HD 7560D + HD 7700 Dual,
Intel Iris 550,
FirePro W5130M,
FireStream 9270,
Intel Iris Plus 640,
GeForce GTS 450,79.99
Radeon HD 8670D + HD 7600 Dual,
FirePro M5950,
GeForce GT 750M,
Radeon R7 PRO A8-8670E,
Radeon Ryzen 3 4300U,
Radeon HD 4870 X2,
Quadro 4000M,232.06
Radeon HD 8790M,
Tesla M2070-Q,
GeForce 930MX,
TENSOR 1.0 Driver Intel HD 630,
Radeon Ryzen Embedded V2748,
Radeon Vega 6,1799.99
Intel UHD 630,
Radeon R7 A370,
Radeon R7 A10-7870K,
Radeon 540,
FirePro 3D V8750,1230.99
FirePro V5900,86
